0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
43,21,1,1,2,0,1,1,4,1,1,2,2,2,1,1,1
9,5,5,7,2,8,1,3,0,1,1,2,2,2,2,2,0
45,19,5,2,1,0,1,1,4,1,1,2,2,1,2,2,0
79,16,2,5,2,0,1,1,4,1,1,2,2,2,2,2,0
35,21,3,0,2,0,1,1,4,1,1,2,2,2,2,1,1
47,19,1,1,2,0,1,1,4,2,1,2,2,2,1,1,1
14,11,5,2,2,2,1,1,0,2,1,2,2,2,1,1,0
72,20,1,0,2,0,1,1,4,2,1,2,2,2,1,9,0
1,0,5,2,2,2,1,1,0,1,1,2,2,0,1,6,0
17,13,5,3,2,1,1,1,4,1,1,2,2,2,2,1,1
71,22,1,0,1,0,1,1,4,1,1,1,2,2,1,1,1
39,17,3,16,2,0,1,1,4,1,1,2,2,2,1,2,0
11,8,5,7,2,0,1,1,0,4,1,2,2,2,1,1,0
68,20,1,0,2,0,1,1,2,1,1,2,2,2,1,1,0
33,21,1,1,2,0,1,1,4,1,1,2,2,2,2,1,1
93,9,1,0,1,0,1,1,4,4,1,2,2,1,1,2,0
6,3,5,2,2,1,1,1,0,1,1,2,2,2,1,1,0
52,16,4,10,2,0,1,1,4,1,1,2,2,2,2,2,0
12,9,5,2,2,1,1,1,0,1,1,2,2,2,2,1,0
56,16,3,17,2,0,1,1,4,2,1,2,2,2,2,1,0
60,21,1,1,2,0,1,1,3,1,1,2,2,2,2,2,1
64,23,5,0,2,0,1,1,2,1,1,2,2,2,1,1,1
22,20,1,1,2,0,1,3,4,1,1,2,2,2,2,1,1
62,16,1,1,2,0,1,1,4,1,1,2,2,2,2,1,1
85,14,2,8,1,0,1,1,4,3,1,2,2,2,2,1,0
36,19,5,15,2,0,1,1,4,1,1,2,2,2,2,2,1
61,21,3,0,2,0,1,1,4,1,1,2,2,2,2,2,0
73,12,2,0,2,0,1,1,4,4,1,2,2,2,2,2,0
48,16,1,1,2,0,1,1,4,1,1,2,2,2,1,1,1
65,21,3,0,2,0,1,1,4,1,1,2,2,2,1,1,1
71,23,1,0,1,0,1,1,4,1,1,2,2,2,2,1,0
57,16,1,0,2,0,1,1,4,1,1,2,2,2,1,1,1
77,24,1,0,2,0,1,1,4,2,1,2,2,2,1,1,0
65,19,1,0,2,0,1,1,4,1,1,2,2,2,1,1,0
55,20,1,1,2,0,1,1,2,1,1,2,2,2,1,1,1
27,16,1,1,2,0,1,1,4,1,1,2,2,2,2,1,0
7,4,5,4,2,1,1,3,0,3,1,2,2,2,2,1,0
39,16,1,1,2,0,1,1,4,1,1,2,2,2,1,1,1
75,16,3,6,2,0,1,1,4,1,1,2,2,2,2,2,0
63,18,3,0,2,0,1,1,4,4,1,2,2,2,1,1,1
56,12,3,0,2,0,1,1,4,1,1,2,2,2,1,1,1
68,19,1,0,2,0,1,1,4,1,1,2,2,2,2,1,0
4,1,5,2,2,1,1,1,0,4,1,2,2,0,1,1,0
52,16,1,0,2,0,1,2,2,2,1,2,2,2,1,1,1
63,14,2,0,1,0,1,1,4,4,1,1,1,1,1,1,0
64,22,5,0,1,0,1,1,4,1,1,2,2,2,2,1,0
14,10,5,2,2,1,1,3,0,1,1,2,2,2,1,1,0
27,20,1,0,2,0,1,1,4,2,1,2,2,2,1,1,1
14,11,5,2,2,1,1,1,0,1,1,2,2,2,1,1,0
15,11,5,2,2,7,1,1,0,4,1,2,2,2,2,2,0
7,4,5,3,2,4,1,1,0,4,1,2,2,2,2,2,0
